voice_plan,voice_messages,intl_plan,day_mins,day_charge,eve_mins,eve_charge,churn
1,1.3540893318998328,0,1.626868279976818,1.6271199678768293,-0.06666271832350745,-0.06804543180405882,0
1,1.4309156466465223,0,-0.35606351866675,-0.35698553169704256,-0.10572682099620155,-0.10663470871057122,0
0,-0.5665685367674036,0,1.2111231589085527,1.211134212568444,-1.6333388360389187,-1.6309111465178097,0
0,-0.5665685367674036,1,-0.2583538358350381,-0.2589075893885613,-1.0761613716020728,-1.0737784611800376,0
0,-0.5665685367674036,1,0.8279479321175253,0.8278411046962181,0.41033053536412406,0.40708504010737434,0
0,-0.5665685367674036,1,-0.44419382082868625,-0.44491747997361164,-2.0054758141314246,-2.002332936742991,0
1,2.2760051088601063,1,1.502336331269734,1.50198604148325,0.4391146110176882,0.4360269977872589,0
0,-0.5665685367674036,0,0.14398015229554081,0.14355017387727523,-0.7657045556243471,-0.7650642459279385,0
0,-0.5665685367674036,0,-0.9844708906040348,0.0019009254672669384,-1.9684677168625564,-1.963743659836479,0
0,-0.5665685367674036,0,-0.4518573253645069,-0.45280880866509865,0.9654519943971438,0.9618058956384897,0
1,1.5077419613932117,0,0.3106613759496381,0.3103954090687145,1.650101793871201,1.6443537309224268,0
0,-0.5665685367674036,0,0.20145643631419494,0.20104414005810917,0.36098640567229995,0.3588484439742341,0
1,1.9686998498733486,0,0.18229767497464355,0.18187948466449771,0.2499621138656965,0.24790427286801084,0
0,-0.5665685367674036,0,0.8471066934570767,0.8470057600898295,-0.8458887663735611,-0.8446546295476203,0
0,-0.5665685367674036,0,-0.48059546737383396,-0.4809921254204093,0.8030275674948897,0.7978014687858123,0
0,-0.5665685367674036,0,-1.3369920992517803,-1.3377649547818542,-1.3023219660229326,-1.3004904630057976,0
0,-0.5665685367674036,0,-1.8983438065006357,-1.899176624547643,0.9161078647053197,0.911157469698692,0
0,-0.5665685367674036,0,-1.0706853166320163,-1.0717144446117213,1.571973588525814,1.5647633473027454,0
1,2.429657738353485,0,0.6286968141861908,0.628303222068619,-0.19619105876454562,-0.1982842413635387,0
0,-0.5665685367674036,0,-0.8790977032365023,0.0019009254672669384,-0.9281289825266011,-0.926656842973959,0
0,-0.5665685367674036,0,0.18804530337650918,0.18751614801555955,1.1833885672026996,1.1788705782376214,0
0,-0.5665685367674036,0,-1.166479123329773,-1.1675377215797775,0.2972502381536941,0.29372903919449456,0
